tweet_time	twitter_id	tweet_text
2018-08-17	921834661768151040	"RT @lhc21net: ""이명박·박근혜 정권 10년 동안 대한민국은 역주행 했습니다. 촛불이 그 역주행을 막았습니다. 복지국가, 공정사회, 한반도 평화! 이것은 촛불혁명이 요구하는 우리 당의 의무입니다. 그러기 위해서는 4번, 5번의 연속해서 집권…"
2018-08-17	1028623863460974592	RT @un_0513: 다시ㅣ 보는 답 없는 한국... https://t.co/K3FYuPNCKy
2018-08-17	3242109362	RT @youthdonation: 박수영 너무 웃기다 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 한국에 있다가 슬로베니아가서 감탄 중 ㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/aU2Fc2cEFm
2018-08-17	973152038883176448	RT @un_0513: 다시ㅣ 보는 답 없는 한국... https://t.co/K3FYuPNCKy
2018-08-17	289674159	@Jaemyung_Lee 집도 한채씩 드리세요대한민국 그 정도 할수 있잖아요
2018-08-17	115288055	RT @hun2day: 국가보훈처와 트위터(@TwitterKorea)가 함께 광복절 이모지 캠페인을 진행합니다.아래 해시태그를 입력하면, #안중근_의사 를 상징하는 이모지가 나타납니다.     #광복73주년, 오늘의 대한민국을 있게 해 주신 애…
2018-08-17	1000995294530621440	"RT @rassak: 왜 한국 매체들은 죄다 남성 범죄자의 변명을 헤드라인으로 실어주죠. 홍대 불법촬영 기사에선 ""성기를 드러내고 휴게실을 혼자 점령한 남성에게 욱하는 마음에... 반성문도 7차례나 보냈으나..."" 같은 변명 안 실어줬을 거 아니에요…"
2018-08-17	953696722365988865	RT @lostBL1: 모두들 BBC 메인기사의 한국 여성 비비탄 뉴스를 읽어라 https://t.co/wJ9Jp8WtgU
2018-08-17	841426979177938944	RT @EXO87885361: 경수는 엄청난 4차원이라 주소를 쓸 때 한반도 남한 서울특별시 ᆢ 라고 쓴 적이 있다#TBWORLD2018 #EXO #SOUTHKOREA #SUHO #BAEKHYUN #KAI #SEHUN #100MostHandsome…
2018-08-17	2752023312	RT @moonlover333: 김성태와 자유한국당은방문진 이사 선임에 개입하고선 비판이 일자 야당 탄압이라고 주장한다. https://t.co/xiAtXsuUnx https://t.co/5sZkdvskpN당장 김성태 구속 수사하라!김성태 특검…
2018-08-17	917012650302648320	"RT @re_d27: 애인님 : 한국 올때 ""누가 이런걸 사?"" 싶은 괴식 있으면 좀 사와봐.나 : 알았어. https://t.co/o8HOf3zZhH"
2018-08-17	125558451	RT @hybaaq: 방문진 이사 선임에 자유한국당 김성태 의원 압박이 있었다고 방통위원장 입으로 시인했는데 이거 그냥 둡니까? 일본 땅이 가라앉으면 일본인들 개성공단으로 이주시켜야 한다는 사이비교 교주 증언만으로도 특검을 하고 사람을 구속시킬려고…
2018-08-17	2440989667	RT @lksm1963: @hit001hs 개정은이 퍼다주는건 국익이되는가? 문호구대한민국 하늘아래 숨쉬고 있다는것 자체가 국익에도움이 안된다. 알아서 대한민국에서 퇴출당해라문영구..
2018-08-17	878767601848958976	오늘 영어회화 주제가 “거지는 세금을 내야한는가” 였는데 난 반대. 근데 마지막에 내가 발표할때 뭐라했냐면...Government is bug that eat our tax▶️정부는 우리세금먹는 벌래라… https://t.co/xF9VFBPTUe
2018-08-17	1029627050649300994	RT @YOUR_G0D_: 애늙은이 기질이 있다. 스무 살 때부터 동네 슈퍼 앞 평상에서 편하게 술 마시고 그랬다. 아버지 친구 분들과도 자주 어울렸다. 남한산성 계곡에 가서 고기 구워먹고, 12시간씩 술을 마시곤 했다.주지훈 플마제로 나온 인터…
2018-08-17	1001012144459079680	RT @kogasa_parang: 이제 외국인들에게 한국은 매일 밤늦게까지 공부를 하고 야식으로 익스트림 스파이시 누들을 한 그릇씩 해치우는 미친 나라로 각인된 듯 (놀랍게도 사실이다) https://t.co/myhTBYipno
2018-08-17	4863572592	RT @silviasun1122: 한국이 얼마나 싫었으면 ㅅㅂ직각으로꺾어버리네;;안기준보다운전잘함 https://t.co/4mGwyyY1A4
2018-08-17	858653556399788032	RT @beluga2046: 지금 BBC 라디오에서 '세계 1위의 저출산률 국가인 한국'에 대한 방송이 나오고 있다. 원인은 1) 임신하고 아이를 가진 여사원에 대한 회사의 퇴사 압력 2) 아이 돌보는 사회적 인프라 부족 3) 아이 한명 키우는데 시…
2018-08-17	996457108869734400	RT @bts_love_myself: LOVE MYSELF 캠페인이 한국에 이어 일본에서도 시작되었습니다.방탄소년단과 빅히트엔터테인먼트, 일본 유니세프 협회가 파트너십을 체결했어요.어디서도 보지 못한 미공개 컷은 LOVE MYSELF 캠페인 공…
2018-08-17	786154742422441984	RT @un_0513: 다시ㅣ 보는 답 없는 한국... https://t.co/K3FYuPNCKy
2018-08-17	737057861767815168	RT @un_0513: 다시ㅣ 보는 답 없는 한국... https://t.co/K3FYuPNCKy
2018-08-17	861048497771917312	RT @silviasun1122: 한국이 얼마나 싫었으면 ㅅㅂ직각으로꺾어버리네;;안기준보다운전잘함 https://t.co/4mGwyyY1A4
2018-08-17	845897314682122240	"RT @jaggyirnamhanna: 나는 일본어를 말하는 한국인 남자를 싫어하더라구요그들은 일반적으로 못생겨이며""일본 여성은 한국 남성이 좋아하니까, 모국에서 인기가 없는 나도 섹스 가능!""라고 생각하는군요. 그 정신이 무리"
